deleted_page,date_of_delete,name_of_page
/* clientsitelink-remove:1||enwiki */ Template:Mobile view problem,20231004042649,قالب:Mobile view problem
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – best performances of confederations (by tournament),20230215000053,قالب:إحصائيات بطولة كرة الماء الأولمبية للرجال - أفضل أداء للاتحادات القارية
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – participating teams,20230215000053,قالب:احصائيات منافسة كرة الماء الأولمبية رجال - الفرق المشاركة
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – finishes in top four,20230215000053,قالب:إحصائيات بطولة كرة الماء الأولمبية للرجال - المراكز الأربعة الأولى
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – medal table,20230215000053,قالب:إحصائيات بطولة كرة الماء الأولمبية للرجال - جدول الميداليات
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – champions (results),20230223134528,قالب:إحصائيات بطولة كرة الماء الأولمبية رجال - الأبطال (النتائج)
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – champions (squads),20230223134528,قالب:إحصائيات بطولة كرة الماء الأولمبية رجال - الأبطال (الفرق)
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – age records,20230206233814,قالب:إحصائيات بطولة كرة الماء الأولمبية رجال - سجلات العمر
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – multiple appearances,20230303011706,قالب:إحصائيات بطولة كرة الماء الأولمبية رجال - مشاركة متعددة
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – multiple medalists,20230303011706,قالب:إحصائيات بطولة كرة الماء الأولمبية رجال - عدة ميداليات
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – multiple gold medalists,20230303011706,قالب:إحصائيات بطولة كرة الماء الأولمبية للرجال - عدة ميداليات ذهبية
/* clientsitelink-remove:1||enwiki */ Template:Men's Olympic water polo tournament statistics – top goalscorers (one tournament),20230303011706,قالب:إحصائيات بطولة كرة الماء الأولمبية للرجال - أفضل الهدافين حسب البطولة
